time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20170720:0311,0.0,0.0,0.0,0.0,0.0,13.96,3.17,0.0
20170720:0411,0.0,0.0,0.0,0.0,0.0,13.08,3.86,0.0
20170720:0511,4.1,0.0,13.69,0.43,8.09,12.51,3.93,0.0
20170720:0611,68.37,16.1,86.84,4.59,16.02,12.14,4.21,0.0
20170720:0711,65.47,0.0,90.88,2.61,24.34,12.52,4.41,0.0
20170720:0811,144.56,5.75,174.37,5.14,32.7,13.02,5.03,0.0
20170720:0911,400.17,183.05,285.69,11.74,40.65,13.72,5.1,0.0
20170720:1011,394.69,129.19,334.31,11.81,47.58,14.19,5.31,0.0
20170720:1111,406.77,119.11,359.98,12.27,52.62,14.82,5.45,0.0
20170720:1211,396.71,103.41,365.5,12.14,54.76,15.42,5.45,0.0
20170720:1311,154.94,0.0,194.0,5.57,53.44,15.85,5.24,0.0
20170720:1411,98.42,0.0,130.2,3.74,49.01,16.19,4.83,0.0
20170720:1511,136.96,0.0,173.9,4.99,42.45,15.85,4.34,0.0
20170720:1611,153.74,5.94,186.66,5.49,34.69,15.44,4.14,0.0
20170720:1711,129.34,9.39,155.92,4.77,26.38,14.95,4.0,0.0
20170720:1811,91.65,27.71,105.24,5.12,18.01,14.55,3.72,0.0
20170720:1911,28.07,0.0,46.72,1.45,9.96,13.73,3.59,0.0
20170720:2011,2.27,0.0,10.47,0.33,2.57,13.23,3.31,0.0
20170720:2111,0.0,0.0,0.0,0.0,0.0,12.44,2.97,0.0
20170720:2211,0.0,0.0,0.0,0.0,0.0,11.72,2.28,0.0
20170720:2311,0.0,0.0,0.0,0.0,0.0,10.77,1.86,0.0
20170721:0011,0.0,0.0,0.0,0.0,0.0,9.76,1.86,0.0
20170721:0111,0.0,0.0,0.0,0.0,0.0,9.28,2.21,0.0
20170721:0211,0.0,0.0,0.0,0.0,0.0,9.0,2.34,0.0
20170721:0311,0.0,0.0,0.0,0.0,0.0,8.99,2.34,0.0
20170721:0411,0.0,0.0,0.0,0.0,0.0,9.13,2.62,0.0
20170721:0511,20.88,0.0,37.05,1.15,7.93,9.75,3.03,0.0
20170721:0611,36.68,0.0,56.8,1.63,15.85,11.03,3.72,0.0
20170721:0711,27.92,0.0,46.31,1.33,24.18,11.97,4.07,0.0
20170721:0811,229.5,51.97,222.92,7.6,32.54,12.55,4.62,0.0
20170721:0911,370.15,145.37,287.7,11.04,40.48,13.72,5.93,0.0
20170721:1011,444.19,184.42,336.1,12.82,47.4,14.84,6.28,0.0
20170721:1111,215.37,6.03,255.9,7.45,52.43,15.82,5.86,0.0
20170721:1211,322.38,48.79,336.11,10.44,54.57,16.49,5.59,0.0
20170721:1311,456.54,171.88,371.19,13.42,53.26,17.23,5.66,0.0
20170721:1411,120.27,0.0,155.55,4.46,48.85,17.15,5.86,0.0
20170721:1511,181.95,5.55,219.95,6.42,42.3,17.13,5.72,0.0
20170721:1611,256.62,69.58,241.12,8.45,34.54,17.43,6.0,0.0
20170721:1711,249.25,198.11,117.5,9.58,26.24,17.32,5.93,0.0
20170721:1811,77.01,54.13,73.84,6.12,17.87,17.09,5.59,0.0
20170721:1911,22.66,0.0,40.27,1.25,9.81,16.33,5.1,0.0
20170721:2011,1.82,0.0,9.67,0.3,2.42,15.72,5.03,0.0
20170721:2111,0.0,0.0,0.0,0.0,0.0,15.08,4.83,0.0
20170721:2211,0.0,0.0,0.0,0.0,0.0,14.56,4.9,0.0
20170721:2311,0.0,0.0,0.0,0.0,0.0,14.27,4.97,0.0
20170722:0011,0.0,0.0,0.0,0.0,0.0,14.23,4.97,0.0
20170722:0111,0.0,0.0,0.0,0.0,0.0,13.91,4.83,0.0
20170722:0211,0.0,0.0,0.0,0.0,0.0,13.73,4.83,0.0
20170722:0311,0.0,0.0,0.0,0.0,0.0,13.67,4.9,0.0
20170722:0411,0.0,0.0,0.0,0.0,0.0,13.77,5.1,0.0
20170722:0511,8.68,0.0,20.94,0.65,7.76,14.11,5.24,0.0
20170722:0611,68.1,3.31,93.15,3.11,15.69,14.54,5.31,0.0
20170722:0711,22.76,0.0,40.2,1.15,24.02,14.43,4.97,0.0
20170722:0811,38.22,0.0,59.42,1.71,32.37,14.51,5.1,0.0
20170722:0911,56.66,0.0,81.27,2.33,40.31,14.36,5.31,0.0
20170722:1011,102.44,0.0,133.7,3.84,47.22,14.37,5.31,0.0
20170722:1111,74.76,0.0,102.24,2.93,52.24,14.5,5.59,0.0
20170722:1211,81.74,0.0,110.11,3.16,54.38,14.2,5.38,0.0
20170722:1311,73.41,0.0,100.49,2.88,53.07,14.01,5.52,0.0
20170722:1411,68.89,0.0,95.25,2.73,48.67,13.87,5.59,0.0
20170722:1511,56.84,0.0,81.27,2.33,42.14,13.75,5.45,0.0
20170722:1611,51.62,0.0,75.15,2.16,34.39,13.63,4.9,0.0
20170722:1711,47.92,0.0,70.78,2.03,26.09,13.57,4.62,0.0
20170722:1811,30.47,0.0,49.81,1.43,17.72,13.78,3.86,0.0
