time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20171214:2311,0.0,0.0,0.0,0.0,0.0,-1.92,2.14,0.0
20171215:0011,0.0,0.0,0.0,0.0,0.0,-1.97,2.55,0.0
20171215:0111,0.0,0.0,0.0,0.0,0.0,-1.59,2.76,0.0
20171215:0211,0.0,0.0,0.0,0.0,0.0,-1.05,2.97,0.0
20171215:0311,0.0,0.0,0.0,0.0,0.0,-0.5,3.03,0.0
20171215:0411,0.0,0.0,0.0,0.0,0.0,0.21,3.38,0.0
20171215:0511,0.0,0.0,0.0,0.0,0.0,0.69,3.93,0.0
20171215:0611,0.0,0.0,0.0,0.0,0.0,1.4,4.21,0.0
20171215:0711,0.0,0.0,0.0,0.0,0.0,2.48,4.9,0.0
20171215:0811,0.0,0.0,0.0,0.0,0.0,3.02,5.1,0.0
20171215:0911,0.0,0.0,3.5,0.1,2.44,3.0,5.1,0.0
20171215:1011,127.74,88.55,66.1,1.66,7.06,2.84,4.97,0.0
20171215:1111,466.68,408.2,114.22,3.56,9.93,3.01,4.69,0.0
20171215:1211,359.63,277.85,125.98,3.46,10.83,3.26,4.48,0.0
20171215:1311,200.65,134.84,97.59,2.56,9.69,3.36,4.34,0.0
20171215:1411,93.61,63.49,54.86,1.4,6.61,3.08,4.0,0.0
20171215:1511,0.0,0.0,0.0,0.0,0.0,2.48,3.66,0.0
20171215:1611,0.0,0.0,0.0,0.0,0.0,1.55,3.59,0.0
20171215:1711,0.0,0.0,0.0,0.0,0.0,0.97,3.59,0.0
20171215:1811,0.0,0.0,0.0,0.0,0.0,0.57,3.66,0.0
20171215:1911,0.0,0.0,0.0,0.0,0.0,0.6,3.66,0.0
20171215:2011,0.0,0.0,0.0,0.0,0.0,0.41,3.66,0.0
20171215:2111,0.0,0.0,0.0,0.0,0.0,0.22,3.59,0.0
20171215:2211,0.0,0.0,0.0,0.0,0.0,0.03,3.59,0.0
20171215:2311,0.0,0.0,0.0,0.0,0.0,-0.09,3.79,0.0
20171216:0011,0.0,0.0,0.0,0.0,0.0,-0.26,3.79,0.0
20171216:0111,0.0,0.0,0.0,0.0,0.0,-0.45,3.72,0.0
20171216:0211,0.0,0.0,0.0,0.0,0.0,-0.59,3.86,0.0
20171216:0311,0.0,0.0,0.0,0.0,0.0,-0.65,3.79,0.0
20171216:0411,0.0,0.0,0.0,0.0,0.0,-0.67,3.52,0.0
20171216:0511,0.0,0.0,0.0,0.0,0.0,-0.63,3.31,0.0
20171216:0611,0.0,0.0,0.0,0.0,0.0,-0.35,3.17,0.0
20171216:0711,0.0,0.0,0.0,0.0,0.0,-0.08,3.03,0.0
20171216:0811,0.0,0.0,0.0,0.0,0.0,0.03,3.1,0.0
20171216:0911,34.52,39.39,13.24,0.38,2.36,-0.04,3.1,0.0
20171216:1011,141.9,100.51,68.04,1.68,6.98,0.36,3.03,0.0
20171216:1111,99.36,49.06,74.26,2.06,9.87,1.16,3.17,0.0
20171216:1211,144.58,80.29,91.45,2.51,10.79,1.86,3.31,0.0
20171216:1311,26.41,0.0,42.82,1.23,9.66,2.2,3.38,0.0
20171216:1411,107.61,75.27,57.79,1.45,6.59,2.05,3.17,0.0
20171216:1511,0.0,0.0,0.0,0.0,0.0,1.4,2.97,0.0
20171216:1611,0.0,0.0,0.0,0.0,0.0,0.52,2.62,0.0
20171216:1711,0.0,0.0,0.0,0.0,0.0,-0.09,2.48,0.0
20171216:1811,0.0,0.0,0.0,0.0,0.0,-0.49,2.55,0.0
20171216:1911,0.0,0.0,0.0,0.0,0.0,-0.6,2.69,0.0
20171216:2011,0.0,0.0,0.0,0.0,0.0,-0.85,2.34,0.0
20171216:2111,0.0,0.0,0.0,0.0,0.0,-1.13,2.28,0.0
20171216:2211,0.0,0.0,0.0,0.0,0.0,-1.36,2.34,0.0
20171216:2311,0.0,0.0,0.0,0.0,0.0,-1.14,2.34,0.0
20171217:0011,0.0,0.0,0.0,0.0,0.0,-0.86,2.41,0.0
20171217:0111,0.0,0.0,0.0,0.0,0.0,0.07,2.55,0.0
20171217:0211,0.0,0.0,0.0,0.0,0.0,0.98,2.83,0.0
20171217:0311,0.0,0.0,0.0,0.0,0.0,1.89,3.17,0.0
20171217:0411,0.0,0.0,0.0,0.0,0.0,2.57,3.72,0.0
20171217:0511,0.0,0.0,0.0,0.0,0.0,3.22,4.34,0.0
20171217:0611,0.0,0.0,0.0,0.0,0.0,3.73,4.83,0.0
20171217:0711,0.0,0.0,0.0,0.0,0.0,4.41,5.38,0.0
20171217:0811,0.0,0.0,0.0,0.0,0.0,4.96,5.79,0.0
20171217:0911,0.0,0.0,2.42,0.08,2.28,5.57,5.93,0.0
20171217:1011,220.13,174.48,81.7,1.93,6.91,5.99,6.07,0.0
20171217:1111,401.13,335.97,117.04,3.31,9.81,6.36,6.69,0.0
20171217:1211,59.47,16.96,64.96,1.86,10.75,7.08,6.55,0.0
20171217:1311,8.98,0.0,20.97,0.6,9.64,7.97,6.34,0.0
20171217:1411,131.89,98.64,63.55,1.56,6.58,7.73,6.69,0.0
20171217:1511,0.0,0.0,0.0,0.0,0.0,6.62,6.14,0.0
20171217:1611,0.0,0.0,0.0,0.0,0.0,5.7,5.03,0.0
20171217:1711,0.0,0.0,0.0,0.0,0.0,4.74,4.41,0.0
20171217:1811,0.0,0.0,0.0,0.0,0.0,4.16,4.14,0.0
20171217:1911,0.0,0.0,0.0,0.0,0.0,3.76,4.14,0.0
20171217:2011,0.0,0.0,0.0,0.0,0.0,3.39,4.21,0.0
20171217:2111,0.0,0.0,0.0,0.0,0.0,3.1,4.0,0.0
20171217:2211,0.0,0.0,0.0,0.0,0.0,2.86,3.72,0.0
20171217:2311,0.0,0.0,0.0,0.0,0.0,2.57,3.59,0.0
20171218:0011,0.0,0.0,0.0,0.0,0.0,2.45,3.66,0.0
20171218:0111,0.0,0.0,0.0,0.0,0.0,2.21,3.52,0.0
20171218:0211,0.0,0.0,0.0,0.0,0.0,2.02,3.17,0.0
20171218:0311,0.0,0.0,0.0,0.0,0.0,1.75,2.97,0.0
20171218:0411,0.0,0.0,0.0,0.0,0.0,1.55,2.9,0.0
20171218:0511,0.0,0.0,0.0,0.0,0.0,1.39,2.69,0.0
20171218:0611,0.0,0.0,0.0,0.0,0.0,1.08,2.55,0.0
20171218:0711,0.0,0.0,0.0,0.0,0.0,1.46,2.76,0.0
20171218:0811,0.0,0.0,0.0,0.0,0.0,1.53,2.76,0.0
20171218:0911,0.0,0.0,0.0,0.0,0.0,1.75,2.69,0.0
20171218:1011,161.02,119.04,71.81,1.73,6.85,2.69,2.76,0.0
20171218:1111,411.79,350.75,116.13,3.34,9.76,4.0,3.03,0.0
20171218:1211,258.99,182.76,115.21,3.06,10.71,5.3,3.52,0.0
20171218:1311,54.75,18.12,58.23,1.66,9.62,5.86,3.93,0.0
20171218:1411,4.99,0.0,14.86,0.43,6.58,5.98,4.28,0.0
20171218:1511,0.0,0.0,0.0,0.0,0.0,5.73,4.48,0.0
20171218:1611,0.0,0.0,0.0,0.0,0.0,5.39,4.41,0.0
20171218:1711,0.0,0.0,0.0,0.0,0.0,5.19,4.34,0.0
20171218:1811,0.0,0.0,0.0,0.0,0.0,5.18,4.28,0.0
20171218:1911,0.0,0.0,0.0,0.0,0.0,5.35,4.55,0.0
20171218:2011,0.0,0.0,0.0,0.0,0.0,5.38,4.9,0.0
20171218:2111,0.0,0.0,0.0,0.0,0.0,5.41,5.03,0.0
20171218:2211,0.0,0.0,0.0,0.0,0.0,5.58,4.9,0.0
20171218:2311,0.0,0.0,0.0,0.0,0.0,5.95,4.55,0.0
20171219:0011,0.0,0.0,0.0,0.0,0.0,6.48,4.41,0.0
20171219:0111,0.0,0.0,0.0,0.0,0.0,6.88,4.41,0.0
20171219:0211,0.0,0.0,0.0,0.0,0.0,7.19,4.48,0.0
20171219:0311,0.0,0.0,0.0,0.0,0.0,7.46,4.48,0.0
20171219:0411,0.0,0.0,0.0,0.0,0.0,7.73,4.48,0.0
20171219:0511,0.0,0.0,0.0,0.0,0.0,7.88,4.34,0.0
20171219:0611,0.0,0.0,0.0,0.0,0.0,7.91,4.14,0.0
20171219:0711,0.0,0.0,0.0,0.0,0.0,8.06,4.41,0.0
20171219:0811,0.0,0.0,0.0,0.0,0.0,8.2,4.41,0.0
20171219:0911,0.0,0.0,0.0,0.0,0.0,8.43,4.41,0.0
20171219:1011,111.42,79.86,60.86,1.53,6.8,8.8,4.48,0.0
20171219:1111,122.38,72.18,80.31,2.18,9.72,9.1,4.55,0.0
20171219:1211,149.52,89.43,92.88,2.53,10.69,9.45,4.69,0.0
20171219:1311,24.75,0.0,41.95,1.2,9.61,9.51,4.76,0.0
20171219:1411,35.68,17.43,37.79,1.05,6.59,9.3,4.9,0.0
20171219:1511,0.0,0.0,0.0,0.0,0.0,9.05,4.97,0.0
20171219:1611,0.0,0.0,0.0,0.0,0.0,8.81,4.9,0.0
20171219:1711,0.0,0.0,0.0,0.0,0.0,8.66,5.03,0.0
20171219:1811,0.0,0.0,0.0,0.0,0.0,8.48,5.17,0.0
20171219:1911,0.0,0.0,0.0,0.0,0.0,8.8,5.66,0.0
20171219:2011,0.0,0.0,0.0,0.0,0.0,8.9,5.79,0.0
20171219:2111,0.0,0.0,0.0,0.0,0.0,8.88,5.86,0.0
20171219:2211,0.0,0.0,0.0,0.0,0.0,8.99,5.93,0.0
20171219:2311,0.0,0.0,0.0,0.0,0.0,9.06,5.93,0.0
20171220:0011,0.0,0.0,0.0,0.0,0.0,9.03,5.93,0.0
20171220:0111,0.0,0.0,0.0,0.0,0.0,9.2,5.93,0.0
20171220:0211,0.0,0.0,0.0,0.0,0.0,9.27,6.0,0.0
20171220:0311,0.0,0.0,0.0,0.0,0.0,9.31,5.93,0.0
20171220:0411,0.0,0.0,0.0,0.0,0.0,9.39,5.79,0.0
20171220:0511,0.0,0.0,0.0,0.0,0.0,9.48,5.59,0.0
20171220:0611,0.0,0.0,0.0,0.0,0.0,9.54,5.38,0.0
20171220:0711,0.0,0.0,0.0,0.0,0.0,10.0,4.97,0.0
20171220:0811,0.0,0.0,0.0,0.0,0.0,10.01,4.62,0.0
20171220:0911,0.0,0.0,0.0,0.0,0.0,9.93,4.21,0.0
20171220:1011,78.25,51.61,52.81,1.38,6.75,9.84,4.0,0.0
20171220:1111,88.59,45.23,70.42,1.96,9.69,9.8,4.21,0.0
20171220:1211,473.56,426.47,120.67,3.86,10.67,9.52,4.41,0.0
20171220:1311,180.54,122.51,93.41,2.46,9.61,8.83,4.41,0.0
20171220:1411,8.36,0.0,20.1,0.58,6.6,8.15,4.41,0.0
20171220:1511,0.0,0.0,0.0,0.0,0.0,7.36,4.28,0.0
20171220:1611,0.0,0.0,0.0,0.0,0.0,6.7,4.21,0.0
20171220:1711,0.0,0.0,0.0,0.0,0.0,6.36,4.0,0.0
20171220:1811,0.0,0.0,0.0,0.0,0.0,5.88,3.86,0.0
20171220:1911,0.0,0.0,0.0,0.0,0.0,6.47,3.52,0.0
20171220:2011,0.0,0.0,0.0,0.0,0.0,6.56,3.66,0.0
20171220:2111,0.0,0.0,0.0,0.0,0.0,6.67,3.59,0.0
20171220:2211,0.0,0.0,0.0,0.0,0.0,6.69,3.45,0.0
20171220:2311,0.0,0.0,0.0,0.0,0.0,6.59,3.24,0.0
20171221:0011,0.0,0.0,0.0,0.0,0.0,6.49,3.1,0.0
20171221:0111,0.0,0.0,0.0,0.0,0.0,6.47,3.03,0.0
20171221:0211,0.0,0.0,0.0,0.0,0.0,6.09,2.97,0.0
20171221:0311,0.0,0.0,0.0,0.0,0.0,6.05,2.9,0.0
20171221:0411,0.0,0.0,0.0,0.0,0.0,5.59,2.9,0.0
20171221:0511,0.0,0.0,0.0,0.0,0.0,5.12,2.83,0.0
20171221:0611,0.0,0.0,0.0,0.0,0.0,4.77,2.9,0.0
20171221:0711,0.0,0.0,0.0,0.0,0.0,5.88,2.62,0.0
20171221:0811,0.0,0.0,0.0,0.0,0.0,5.88,2.62,0.0
20171221:0911,0.0,0.0,0.0,0.0,0.0,5.4,2.55,0.0
20171221:1011,221.02,178.56,80.4,1.88,6.71,5.38,2.28,0.0
20171221:1111,455.83,416.85,108.45,3.46,9.66,5.82,2.14,0.0
20171221:1211,156.02,93.9,94.09,2.56,10.66,6.44,2.14,0.0
20171221:1311,72.75,31.76,65.23,1.83,9.62,6.8,2.07,0.0
20171221:1411,43.69,23.17,40.98,1.13,6.62,6.71,1.93,0.0
20171221:1511,0.0,0.0,0.0,0.0,0.0,6.0,1.93,0.0
20171221:1611,0.0,0.0,0.0,0.0,0.0,4.82,2.0,0.0
20171221:1711,0.0,0.0,0.0,0.0,0.0,4.01,1.93,0.0
20171221:1811,0.0,0.0,0.0,0.0,0.0,3.26,1.72,0.0
20171221:1911,0.0,0.0,0.0,0.0,0.0,2.76,1.38,0.0
20171221:2011,0.0,0.0,0.0,0.0,0.0,2.73,1.24,0.0
20171221:2111,0.0,0.0,0.0,0.0,0.0,3.97,0.97,0.0
20171221:2211,0.0,0.0,0.0,0.0,0.0,4.27,0.62,0.0
20171221:2311,0.0,0.0,0.0,0.0,0.0,3.99,0.76,0.0
20171222:0011,0.0,0.0,0.0,0.0,0.0,2.69,1.1,0.0
20171222:0111,0.0,0.0,0.0,0.0,0.0,2.84,0.83,0.0
20171222:0211,0.0,0.0,0.0,0.0,0.0,2.67,0.9,0.0
20171222:0311,0.0,0.0,0.0,0.0,0.0,1.05,1.31,0.0
20171222:0411,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0
20171222:0511,0.0,0.0,0.0,0.0,0.0,-0.27,1.86,0.0
20171222:0611,0.0,0.0,0.0,0.0,0.0,-0.36,1.52,0.0
20171222:0711,0.0,0.0,0.0,0.0,0.0,1.0,1.93,0.0
20171222:0811,0.0,0.0,0.0,0.0,0.0,1.17,2.28,0.0
20171222:0911,0.0,0.0,0.0,0.0,0.0,2.63,2.76,0.0
20171222:1011,45.01,23.12,41.92,1.15,6.68,4.47,3.17,0.0
20171222:1111,31.1,4.54,44.51,1.28,9.65,5.91,3.59,0.0
20171222:1211,16.78,0.0,31.46,0.9,10.66,6.77,4.07,0.0
20171222:1311,16.72,0.0,31.46,0.9,9.63,7.39,4.48,0.0
20171222:1411,4.93,0.0,14.86,0.43,6.65,7.69,4.76,0.0
20171222:1511,0.0,0.0,0.0,0.0,0.0,7.81,5.03,0.0
20171222:1611,0.0,0.0,0.0,0.0,0.0,7.91,5.45,0.0
20171222:1711,0.0,0.0,0.0,0.0,0.0,8.13,5.93,0.0
20171222:1811,0.0,0.0,0.0,0.0,0.0,8.27,6.14,0.0
20171222:1911,0.0,0.0,0.0,0.0,0.0,8.34,6.21,0.0
20171222:2011,0.0,0.0,0.0,0.0,0.0,8.26,6.55,0.0
20171222:2111,0.0,0.0,0.0,0.0,0.0,8.11,6.83,0.0
20171222:2211,0.0,0.0,0.0,0.0,0.0,7.97,7.03,0.0
20171222:2311,0.0,0.0,0.0,0.0,0.0,7.91,7.1,0.0
20171223:0011,0.0,0.0,0.0,0.0,0.0,7.78,6.97,0.0
20171223:0111,0.0,0.0,0.0,0.0,0.0,7.8,6.9,0.0
20171223:0211,0.0,0.0,0.0,0.0,0.0,7.84,6.76,0.0
20171223:0311,0.0,0.0,0.0,0.0,0.0,7.9,6.69,0.0
20171223:0411,0.0,0.0,0.0,0.0,0.0,8.1,6.76,0.0
20171223:0511,0.0,0.0,0.0,0.0,0.0,8.28,6.83,0.0
20171223:0611,0.0,0.0,0.0,0.0,0.0,8.38,6.97,0.0
20171223:0711,0.0,0.0,0.0,0.0,0.0,8.85,7.52,0.0
20171223:0811,0.0,0.0,0.0,0.0,0.0,9.03,7.79,0.0
20171223:0911,0.0,0.0,0.0,0.0,0.0,9.28,8.14,0.0
20171223:1011,4.34,0.0,13.98,0.4,6.65,9.65,8.62,0.0
20171223:1111,2.81,0.0,11.36,0.33,9.64,9.85,9.03,0.0
20171223:1211,155.13,93.87,94.07,2.56,10.66,9.99,9.38,0.0
20171223:1311,72.05,31.68,65.18,1.83,9.65,9.74,9.24,0.0
20171223:1411,1.87,0.0,9.61,0.28,6.69,9.64,8.55,0.0
20171223:1511,0.0,0.0,0.0,0.0,0.0,9.46,8.62,0.0
20171223:1611,0.0,0.0,0.0,0.0,0.0,9.49,8.21,0.0
20171223:1711,0.0,0.0,0.0,0.0,0.0,9.53,7.79,0.0
20171223:1811,0.0,0.0,0.0,0.0,0.0,9.55,7.38,0.0
20171223:1911,0.0,0.0,0.0,0.0,0.0,10.17,7.38,0.0
20171223:2011,0.0,0.0,0.0,0.0,0.0,10.16,7.1,0.0
20171223:2111,0.0,0.0,0.0,0.0,0.0,10.07,6.83,0.0
20171223:2211,0.0,0.0,0.0,0.0,0.0,10.02,6.55,0.0
20171223:2311,0.0,0.0,0.0,0.0,0.0,9.97,6.21,0.0
20171224:0011,0.0,0.0,0.0,0.0,0.0,9.86,6.14,0.0
20171224:0111,0.0,0.0,0.0,0.0,0.0,9.94,6.28,0.0
20171224:0211,0.0,0.0,0.0,0.0,0.0,9.99,6.55,0.0
20171224:0311,0.0,0.0,0.0,0.0,0.0,10.12,7.1,0.0
20171224:0411,0.0,0.0,0.0,0.0,0.0,10.22,7.86,0.0
20171224:0511,0.0,0.0,0.0,0.0,0.0,10.12,8.48,0.0
20171224:0611,0.0,0.0,0.0,0.0,0.0,9.94,8.76,0.0
20171224:0711,0.0,0.0,0.0,0.0,0.0,10.14,8.97,0.0
20171224:0811,0.0,0.0,0.0,0.0,0.0,9.75,8.76,0.0
20171224:0911,0.0,0.0,0.0,0.0,0.0,9.42,8.55,0.0
20171224:1011,0.25,0.0,6.12,0.18,6.64,9.38,8.41,0.0
20171224:1111,175.85,117.98,92.17,2.43,9.63,9.33,8.28,0.0
20171224:1211,248.09,174.75,113.33,3.01,10.68,9.07,8.21,0.0
20171224:1311,84.02,40.65,69.31,1.93,9.68,9.09,8.0,0.0
20171224:1411,50.75,28.63,44.13,1.2,6.73,9.17,7.79,0.0
20171224:1511,0.0,0.0,0.0,0.0,0.0,9.37,7.66,0.0
20171224:1611,0.0,0.0,0.0,0.0,0.0,9.51,7.52,0.0
20171224:1711,0.0,0.0,0.0,0.0,0.0,9.69,7.45,0.0
20171224:1811,0.0,0.0,0.0,0.0,0.0,9.73,7.17,0.0
20171224:1911,0.0,0.0,0.0,0.0,0.0,9.63,5.86,0.0
20171224:2011,0.0,0.0,0.0,0.0,0.0,9.6,5.66,0.0
20171224:2111,0.0,0.0,0.0,0.0,0.0,9.54,5.31,0.0
20171224:2211,0.0,0.0,0.0,0.0,0.0,9.45,5.1,0.0
20171224:2311,0.0,0.0,0.0,0.0,0.0,9.27,4.76,0.0
20171225:0011,0.0,0.0,0.0,0.0,0.0,9.12,4.69,0.0
20171225:0111,0.0,0.0,0.0,0.0,0.0,9.11,4.97,0.0
20171225:0211,0.0,0.0,0.0,0.0,0.0,9.08,5.24,0.0
20171225:0311,0.0,0.0,0.0,0.0,0.0,8.94,5.24,0.0
20171225:0411,0.0,0.0,0.0,0.0,0.0,8.76,5.1,0.0
20171225:0511,0.0,0.0,0.0,0.0,0.0,8.53,5.1,0.0
20171225:0611,0.0,0.0,0.0,0.0,0.0,8.07,4.21,0.0
20171225:0711,0.0,0.0,0.0,0.0,0.0,7.84,2.34,0.0
20171225:0811,0.0,0.0,0.0,0.0,0.0,7.43,2.41,0.0
20171225:0911,0.0,0.0,0.0,0.0,0.0,7.02,2.55,0.0
20171225:1011,4.96,0.0,14.86,0.43,6.63,6.64,2.83,0.0
20171225:1111,23.73,0.0,40.2,1.15,9.64,6.24,2.76,0.0
20171225:1211,13.52,0.0,27.09,0.78,10.7,5.94,2.55,0.0
20171225:1311,7.29,0.0,18.35,0.53,9.72,5.57,2.28,0.0
20171225:1411,2.9,0.0,11.36,0.33,6.78,5.23,1.93,0.0
20171225:1511,0.0,0.0,0.0,0.0,0.0,4.81,1.93,0.0
20171225:1611,0.0,0.0,0.0,0.0,0.0,4.32,2.48,0.0
20171225:1711,0.0,0.0,0.0,0.0,0.0,3.69,2.62,0.0
20171225:1811,0.0,0.0,0.0,0.0,0.0,2.59,3.17,0.0
20171225:1911,0.0,0.0,0.0,0.0,0.0,2.23,2.83,0.0
20171225:2011,0.0,0.0,0.0,0.0,0.0,1.58,2.62,0.0
20171225:2111,0.0,0.0,0.0,0.0,0.0,1.49,2.48,0.0
20171225:2211,0.0,0.0,0.0,0.0,0.0,1.44,2.69,0.0
20171225:2311,0.0,0.0,0.0,0.0,0.0,1.3,3.03,0.0
20171226:0011,0.0,0.0,0.0,0.0,0.0,1.33,3.1,0.0
20171226:0111,0.0,0.0,0.0,0.0,0.0,1.32,2.97,0.0
20171226:0211,0.0,0.0,0.0,0.0,0.0,1.39,2.83,0.0
20171226:0311,0.0,0.0,0.0,0.0,0.0,1.27,2.48,0.0
20171226:0411,0.0,0.0,0.0,0.0,0.0,1.03,2.83,0.0
20171226:0511,0.0,0.0,0.0,0.0,0.0,0.88,2.9,0.0
20171226:0611,0.0,0.0,0.0,0.0,0.0,0.67,2.97,0.0
20171226:0711,0.0,0.0,0.0,0.0,0.0,0.98,3.17,0.0
20171226:0811,0.0,0.0,0.0,0.0,0.0,0.77,3.24,0.0
20171226:0911,0.0,0.0,0.0,0.0,0.0,0.57,3.17,0.0
20171226:1011,188.38,145.03,73.0,1.73,6.62,0.56,3.31,0.0
20171226:1111,87.25,40.74,69.37,1.93,9.65,0.76,3.72,0.0
20171226:1211,139.69,76.41,89.44,2.46,10.73,1.22,4.28,0.0
20171226:1311,143.28,85.26,84.66,2.28,9.76,1.38,3.93,0.0
20171226:1411,52.11,28.27,43.94,1.2,6.84,1.35,3.66,0.0
20171226:1511,0.0,0.0,0.0,0.0,0.0,1.08,3.24,0.0
20171226:1611,0.0,0.0,0.0,0.0,0.0,0.55,3.1,0.0
20171226:1711,0.0,0.0,0.0,0.0,0.0,0.05,2.9,0.0
20171226:1811,0.0,0.0,0.0,0.0,0.0,-0.64,2.69,0.0
20171226:1911,0.0,0.0,0.0,0.0,0.0,-0.85,2.69,0.0
20171226:2011,0.0,0.0,0.0,0.0,0.0,-1.21,2.62,0.0
20171226:2111,0.0,0.0,0.0,0.0,0.0,-1.51,2.62,0.0
20171226:2211,0.0,0.0,0.0,0.0,0.0,-1.66,2.55,0.0
20171226:2311,0.0,0.0,0.0,0.0,0.0,-1.74,2.48,0.0
20171227:0011,0.0,0.0,0.0,0.0,0.0,-1.76,2.48,0.0
20171227:0111,0.0,0.0,0.0,0.0,0.0,-1.52,2.83,0.0
20171227:0211,0.0,0.0,0.0,0.0,0.0,-1.3,3.03,0.0
20171227:0311,0.0,0.0,0.0,0.0,0.0,-1.21,3.17,0.0
20171227:0411,0.0,0.0,0.0,0.0,0.0,-1.16,3.45,0.0
20171227:0511,0.0,0.0,0.0,0.0,0.0,-1.23,3.38,0.0
20171227:0611,0.0,0.0,0.0,0.0,0.0,-1.48,3.17,0.0
20171227:0711,0.0,0.0,0.0,0.0,0.0,-1.06,3.59,0.0
20171227:0811,0.0,0.0,0.0,0.0,0.0,-1.23,3.79,0.0
20171227:0911,0.0,0.0,0.0,0.0,0.0,-1.37,3.86,0.0
20171227:1011,96.76,63.71,56.06,1.43,6.63,-0.98,3.86,0.0
20171227:1111,161.45,99.37,88.52,2.36,9.67,-0.2,4.0,0.0
20171227:1211,201.55,126.99,103.49,2.78,10.77,0.46,4.0,0.0
20171227:1311,149.53,89.38,86.76,2.33,9.82,0.88,4.07,0.0
20171227:1411,31.38,11.22,37.28,1.05,6.9,1.05,4.34,0.0
20171227:1511,0.0,0.0,0.0,0.0,0.0,0.76,4.21,0.0
20171227:1611,0.0,0.0,0.0,0.0,0.0,0.2,4.28,0.0
20171227:1711,0.0,0.0,0.0,0.0,0.0,-0.2,4.34,0.0
20171227:1811,0.0,0.0,0.0,0.0,0.0,-0.47,4.55,0.0
20171227:1911,0.0,0.0,0.0,0.0,0.0,-0.3,4.97,0.0
20171227:2011,0.0,0.0,0.0,0.0,0.0,-0.34,5.1,0.0
20171227:2111,0.0,0.0,0.0,0.0,0.0,-0.31,5.38,0.0
20171227:2211,0.0,0.0,0.0,0.0,0.0,-0.21,5.59,0.0
20171227:2311,0.0,0.0,0.0,0.0,0.0,-0.05,5.66,0.0
20171228:0011,0.0,0.0,0.0,0.0,0.0,0.05,5.66,0.0
20171228:0111,0.0,0.0,0.0,0.0,0.0,0.06,5.45,0.0
20171228:0211,0.0,0.0,0.0,0.0,0.0,-0.02,5.31,0.0
20171228:0311,0.0,0.0,0.0,0.0,0.0,-0.07,5.24,0.0
20171228:0411,0.0,0.0,0.0,0.0,0.0,-0.03,5.17,0.0
20171228:0511,0.0,0.0,0.0,0.0,0.0,-0.14,5.1,0.0
20171228:0611,0.0,0.0,0.0,0.0,0.0,-0.18,4.9,0.0
20171228:0711,0.0,0.0,0.0,0.0,0.0,-0.28,4.83,0.0
20171228:0811,0.0,0.0,0.0,0.0,0.0,-0.42,4.76,0.0
20171228:0911,0.0,0.0,0.0,0.0,0.0,-0.57,4.69,0.0
20171228:1011,2.02,0.0,9.61,0.28,6.64,-0.24,4.69,0.0
20171228:1111,150.1,90.07,86.05,2.31,9.7,0.2,4.55,0.0
20171228:1211,230.98,151.86,109.7,2.93,10.81,0.71,4.48,0.0
20171228:1311,131.93,75.61,81.95,2.23,9.88,0.99,4.34,0.0
20171228:1411,44.68,22.25,41.48,1.15,6.98,0.99,4.28,0.0
20171228:1511,0.0,0.0,4.37,0.13,2.34,0.63,3.93,0.0
20171228:1611,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.0
20171228:1711,0.0,0.0,0.0,0.0,0.0,-0.39,3.31,0.0
20171228:1811,0.0,0.0,0.0,0.0,0.0,-0.69,3.17,0.0
20171228:1911,0.0,0.0,0.0,0.0,0.0,-0.57,2.97,0.0
20171228:2011,0.0,0.0,0.0,0.0,0.0,-0.96,2.69,0.0
20171228:2111,0.0,0.0,0.0,0.0,0.0,-1.41,2.69,0.0
20171228:2211,0.0,0.0,0.0,0.0,0.0,-1.88,2.62,0.0
20171228:2311,0.0,0.0,0.0,0.0,0.0,-2.4,2.28,0.0
20171229:0011,0.0,0.0,0.0,0.0,0.0,-2.15,2.07,0.0
20171229:0111,0.0,0.0,0.0,0.0,0.0,-2.8,2.07,0.0
20171229:0211,0.0,0.0,0.0,0.0,0.0,-3.29,1.79,0.0
20171229:0311,0.0,0.0,0.0,0.0,0.0,-3.37,1.72,0.0
20171229:0411,0.0,0.0,0.0,0.0,0.0,-2.96,1.72,0.0
20171229:0511,0.0,0.0,0.0,0.0,0.0,-2.29,2.34,0.0
20171229:0611,0.0,0.0,0.0,0.0,0.0,-0.79,2.9,0.0
20171229:0711,0.0,0.0,0.0,0.0,0.0,0.01,3.93,0.0
20171229:0811,0.0,0.0,0.0,0.0,0.0,0.36,4.48,0.0
20171229:0911,0.0,0.0,0.0,0.0,0.0,0.5,4.9,0.0
20171229:1011,4.6,0.0,13.98,0.4,6.66,0.62,5.03,0.0
20171229:1111,18.72,0.0,33.21,0.95,9.74,0.68,4.83,0.0
20171229:1211,22.98,0.0,38.45,1.1,10.86,0.71,4.07,0.0
20171229:1311,8.1,0.0,19.22,0.55,9.94,0.91,3.59,0.0
20171229:1411,4.04,0.0,13.11,0.38,7.06,1.07,3.1,0.0
20171229:1511,0.0,0.0,1.75,0.05,2.43,0.94,2.9,0.0
20171229:1611,0.0,0.0,0.0,0.0,0.0,0.76,2.9,0.0
20171229:1711,0.0,0.0,0.0,0.0,0.0,0.9,3.03,0.0
20171229:1811,0.0,0.0,0.0,0.0,0.0,1.56,3.24,0.0
